hckey,capital,capital_lat,capital_lng
ad,Andorra,42.5000,1.5165
al,Tirana,41.3275,19.8189
at,Vienna,48.2000,16.3666
ba,Sarajevo,43.8500,18.3830
be,Brussels,50.8333,4.3333
bg,Sofia,42.6833,23.3167
by,Minsk,53.9000,27.5666
ch,Bern,46.9167,7.4670
cy,Nicosia,35.1667,33.3666
cz,Prague,50.0833,14.4660
de,Berlin,52.5218,13.4015
dk,Copenhagen,55.6786,12.5635
ee,Tallinn,59.4339,24.7280
es,Madrid,40.4000,-3.6834
fi,Helsinki,60.1756,24.9341
fr,Paris,48.8667,2.3333
gb,London,42.9700,-81.2500
gr,Athens,37.9833,23.7333
hr,Zagreb,45.8000,16.0000
hu,Budapest,47.5000,19.0833
ie,Dublin,53.3331,-6.2489
is,Reykjavik,64.1500,-21.9500
it,Rome,41.8960,12.4833
li,Vaduz,47.1337,9.5167
lt,Vilnius,54.6834,25.3166
lu,Luxembourg,49.6117,6.1300
lv,Riga,56.9500,24.1000
mc,Monaco,43.7396,7.4069
md,Chisinau,47.0050,28.8577
me,Podgorica,42.4660,19.2663
mk,Skopje,42.0000,21.4335
mt,Valletta,35.8997,14.5147
nl,Amsterdam,52.3500,4.9166
no,Oslo,59.9167,10.7500
pl,Warsaw,52.2500,21.0000
pt,Lisbon,38.7227,-9.1449
ro,Bucharest,44.4334,26.0999
rs,Belgrade,44.8186,20.4680
ru,Moscow,55.7522,37.6155
se,Stockholm,59.3508,18.0973
si,Ljubljana,46.0553,14.5150
sk,Bratislava,48.1500,17.1170
sm,San Marino,43.9172,12.4667
ua,Kiev,50.4334,30.5166
